Ring,Tree,CO2-trt,Classif,Active(FALSE.means.dead)
1,101,elevated,Suppressed,TRUE
1,102,elevated,Codominant,TRUE
1,103,elevated,Dominant,TRUE
1,104,elevated,Suppressed,TRUE
1,105,elevated,Dominant,TRUE
1,106,elevated,Codominant,TRUE
1,107,elevated,Codominant,TRUE
1,108,elevated,Codominant,TRUE
1,109,elevated,Codominant,TRUE
1,110,elevated,Codominant,TRUE
1,111,elevated,Dominant,TRUE
1,112,elevated,Codominant,TRUE
1,113,elevated,Codominant,TRUE
1,114,elevated,Codominant,TRUE
1,115,elevated,Suppressed,TRUE
1,116,elevated,Dominant,TRUE
1,117,elevated,Dominant,TRUE
1,118,elevated,Codominant,TRUE
1,119,elevated,Codominant,TRUE
1,120,elevated,Codominant,TRUE
1,121,elevated,Codominant,TRUE
1,122,elevated,Dominant,TRUE
1,123,elevated,Codominant,TRUE
1,124,elevated,Suppressed,TRUE
1,125,elevated,Suppressed,FALSE
2,201,ambient,Codominant,TRUE
2,202,ambient,Codominant,TRUE
2,203,ambient,Codominant,TRUE
2,204,ambient,Suppressed,TRUE
2,205,ambient,Codominant,TRUE
2,206,ambient,Suppressed,FALSE
2,207,ambient,Dominant,TRUE
2,208,ambient,Codominant,TRUE
2,209,ambient,Dominant,TRUE
2,210,ambient,Suppressed,FALSE
2,211,ambient,Suppressed,TRUE
2,212,ambient,Suppressed,TRUE
2,213,ambient,Suppressed,TRUE
2,214,ambient,Codominant,TRUE
2,215,ambient,Suppressed,TRUE
2,216,ambient,Codominant,TRUE
2,217,ambient,Codominant,TRUE
2,218,ambient,Suppressed,TRUE
2,219,ambient,Suppressed,TRUE
2,220,ambient,Suppressed,TRUE
2,221,ambient,Suppressed,TRUE
2,222,ambient,Codominant,TRUE
2,223,ambient,Codominant,TRUE
2,224,ambient,Suppressed,TRUE
2,225,ambient,Codominant,TRUE
2,226,ambient,Suppressed,TRUE
2,227,ambient,Suppressed,TRUE
2,228,ambient,Suppressed,TRUE
3,301,ambient,Dominant,TRUE
3,302,ambient,Dominant,TRUE
3,303,ambient,Suppressed,TRUE
3,304,ambient,Codominant,TRUE
3,305,ambient,Codominant,TRUE
